Date_Time,Test_Time(s),Step_Time(s),Step_Index,Voltage(V),Current(A),Surface_Temp(degC)
2019-09-05 01:28:49.275,9749.538967999999,1.0012,5,3.410778045654297,-2.5003252029418945,25.30117416381836
2019-09-05 01:28:50.274,9750.538467999999,2.0007,5,3.3960492610931396,-2.5003457069396973,25.30117416381836
2019-09-05 01:28:51.275,9751.538768,3.001,5,3.3835198879241943,-2.5003466606140137,25.296215057373047
2019-09-05 01:28:52.274,9752.537868,4.0001,5,3.3724522590637207,-2.500349521636963,25.296215057373047
2019-09-05 01:28:53.274,9753.537967999999,5.0002,5,3.3625104427337646,-2.5003366470336914,25.296215057373047
2019-09-05 01:28:54.274,9754.538368,6.0006,5,3.353807210922241,-2.500361919403076,25.2981014251709
2019-09-05 01:28:55.274,9755.538467999999,7.0007,5,3.34546160697937,-2.5003271102905273,25.2981014251709
2019-09-05 01:28:56.274,9756.538268,8.0005,5,3.3382086753845215,-2.500330924987793,25.2981014251709
2019-09-05 01:28:57.274,9757.538568,9.0008,5,3.3314106464385986,-2.500338554382324,25.299028396606445
2019-09-05 01:28:58.274,9758.538068,10.0003,5,3.3249545097351074,-2.5003232955932617,25.299028396606445
2019-09-05 01:28:59.275,9759.539068,11.0013,5,3.3190436363220215,-2.500337600708008,25.299028396606445
2019-09-05 01:29:00.275,9760.538768,12.001,5,3.3137454986572266,-2.500337600708008,25.254032135009766
2019-09-05 01:29:01.275,9761.538967999999,13.0012,5,3.308595657348633,-2.500338554382324,25.254032135009766
2019-09-05 01:29:02.275,9762.539168,14.0014,5,3.3036985397338867,-2.5003466606140137,25.322874069213867
2019-09-05 01:29:03.274,9763.537967999999,15.0002,5,3.29911470413208,-2.500342845916748,25.322874069213867
2019-09-05 01:29:04.275,9764.538768,16.001,5,3.2948782444000244,-2.500352382659912,25.322874069213867
2019-09-05 01:29:05.275,9765.538768,17.001,5,3.2907934188842773,-2.500332832336426,25.296852806594035
2019-09-05 01:29:06.275,9766.539168,18.0014,5,3.286607265472412,-2.50034761428833,25.296850204467773
2019-09-05 01:29:07.274,9767.538268,19.0005,5,3.2831664085388184,-2.500330924987793,25.296850204467773
2019-09-05 01:29:08.275,9768.538967999999,20.0012,5,3.279797077178955,-2.5003457069396973,25.309557598430793
2019-09-05 01:29:09.275,9769.538768,21.001,5,3.2764430046081543,-2.500337600708008,25.309558868408203
2019-09-05 01:29:10.275,9770.538967999999,22.0012,5,3.2732133865356445,-2.5003232955932617,25.309558868408203
2019-09-05 01:29:11.275,9771.538967999999,23.0012,5,3.2701659202575684,-2.500324249267578,25.281655241203307
2019-09-05 01:29:12.274,9772.537967999999,24.0002,5,3.2672181129455566,-2.500333786010742,25.281652450561523
2019-09-05 01:29:13.274,9773.538368,25.0006,5,3.264409303665161,-2.5003457069396973,25.281652450561523
2019-09-05 01:29:14.274,9774.537967999999,26.0002,5,3.2617647647857666,-2.500337600708008,25.329712827666466
2019-09-05 01:29:15.274,9775.538368,27.0006,5,3.259244918823242,-2.5003418922424316,25.3297176361084
2019-09-05 01:29:16.274,9776.538368,28.0006,5,3.256887435913086,-2.5003504753112793,25.3297176361084
2019-09-05 01:29:17.275,9777.538768,29.001,5,3.2545864582061768,-2.5003457069396973,25.27762361604278
2019-09-05 01:29:18.275,9778.539068,30.0013,5,3.2523791790008545,-2.5003514289855957,25.277618408203125
2019-09-05 01:29:19.274,9779.538168,31.0004,5,3.2501909732818604,-2.5003347396850586,25.277618408203125
2019-09-05 01:29:20.274,9780.537868,32.0001,5,3.248002052307129,-2.500342845916748,25.316398556124188
2019-09-05 01:29:21.274,9781.538568,33.0008,5,3.2459640502929688,-2.5003581047058105,25.316402435302734
2019-09-05 01:29:22.275,9782.538868,34.0011,5,3.244206190109253,-2.500337600708008,25.297805786132812
2019-09-05 01:29:23.275,9783.538568,35.0008,5,3.24237060546875,-2.5003647804260254,25.297805786132812
2019-09-05 01:29:24.274,9784.538368,36.0006,5,3.2405762672424316,-2.500333786010742,25.297805786132812
2019-09-05 01:29:25.274,9785.538467999999,37.0007,5,3.238887310028076,-2.5003366470336914,25.33377669196538
2019-09-05 01:29:26.274,9786.537967999999,38.0002,5,3.237154722213745,-2.5003223419189453,25.33378028869629
2019-09-05 01:29:27.274,9787.538268,39.0005,5,3.2357077598571777,-2.500349521636963,25.33378028869629
2019-09-05 01:29:28.274,9788.537967999999,40.0002,5,3.234065532684326,-2.5003280639648438,25.33810043334961
2019-09-05 01:29:29.275,9789.539068,41.0013,5,3.232856512069702,-2.500332832336426,25.33810043334961
2019-09-05 01:29:30.275,9790.538967999999,42.0012,5,3.231365442276001,-2.5003485679626465,25.33810043334961
2019-09-05 01:29:31.275,9791.538568,43.0008,5,3.230020761489868,-2.5003299713134766,25.364757537841797
2019-09-05 01:29:32.274,9792.538467999999,44.0007,5,3.2286217212677,-2.5003299713134766,25.364757537841797
2019-09-05 01:29:33.274,9793.538568,45.0008,5,3.2274394035339355,-2.5003514289855957,25.364757537841797
2019-09-05 01:29:34.274,9794.538467999999,46.0007,5,3.2260499000549316,-2.50034761428833,25.33067512512207
2019-09-05 01:29:35.274,9795.538568,47.0008,5,3.225076913833618,-2.500361919403076,25.33067512512207
2019-09-05 01:29:36.275,9796.538967999999,48.0012,5,3.2238893508911133,-2.500337600708008,25.33067512512207
2019-09-05 01:29:37.274,9797.538568,49.0008,5,3.2227418422698975,-2.50034761428833,25.31733264886845
2019-09-05 01:29:38.274,9798.538168,50.0004,5,3.221614360809326,-2.5003485679626465,25.317331314086914
2019-09-05 01:29:39.275,9799.538768,51.001,5,3.2204911708831787,-2.500344753265381,25.311120986938477
2019-09-05 01:29:40.274,9800.538168,52.0004,5,3.219590425491333,-2.5003156661987305,25.311120986938477
2019-09-05 01:29:41.274,9801.537868,53.0001,5,3.2188196182250977,-2.5003485679626465,25.311120986938477
2019-09-05 01:29:42.274,9802.537967999999,54.0002,5,3.2179360389709473,-2.500340461730957,25.343990325927734
2019-09-05 01:29:43.274,9803.538168,55.0004,5,3.2170140743255615,-2.5003418922424316,25.343990325927734
2019-09-05 01:29:44.274,9804.537967999999,56.0002,5,3.2161548137664795,-2.5003204345703125,25.343990325927734
2019-09-05 01:29:45.274,9805.538568,57.0008,5,3.215399742126465,-2.5003299713134766,25.334074020385742
2019-09-05 01:29:46.274,9806.538368,58.0006,5,3.214694023132324,-2.5003204345703125,25.334074020385742
2019-09-05 01:29:47.275,9807.538768,59.001,5,3.2138919830322266,-2.50032901763916,25.334074020385742
2019-09-05 01:29:48.275,9808.539068,60.0013,5,3.2131264209747314,-2.5003280639648438,25.32664373299247
2019-09-05 01:29:49.275,9809.538768,61.001,5,3.2124781608581543,-2.5003485679626465,25.326642990112305
2019-09-05 01:29:50.275,9810.538967999999,62.0012,5,3.211848020553589,-2.5003561973571777,25.326642990112305
2019-09-05 01:29:51.274,9811.537868,63.0001,5,3.211198568344116,-2.500338554382324,25.351125717163086
2019-09-05 01:29:52.275,9812.538768,64.001,5,3.2104573249816895,-2.500349521636963,25.351125717163086
2019-09-05 01:29:53.275,9813.538768,65.001,5,3.2097690105438232,-2.5003299713134766,25.351125717163086
2019-09-05 01:29:54.274,9814.537967999999,66.0002,5,3.2091684341430664,-2.500340461730957,25.323827743530273
2019-09-05 01:29:55.274,9815.538368,67.0006,5,3.2086241245269775,-2.5003223419189453,25.323827743530273
2019-09-05 01:29:56.275,9816.538967999999,68.0012,5,3.2081737518310547,-2.5003504753112793,25.342132568359375
2019-09-05 01:29:57.275,9817.538768,69.001,5,3.2076590061187744,-2.500335693359375,25.342132568359375
2019-09-05 01:29:58.274,9818.537967999999,70.0002,5,3.206895112991333,-2.500361919403076,25.342132568359375
2019-09-05 01:29:59.275,9819.538868,71.0011,5,3.2066991329193115,-2.500332832336426,25.345237731933594
2019-09-05 01:30:00.275,9820.538768,72.001,5,3.2060394287109375,-2.500314712524414,25.345237731933594
2019-09-05 01:30:01.274,9821.538568,73.0008,5,3.2054786682128906,-2.5003504753112793,25.345237731933594
2019-09-05 01:30:02.275,9822.538768,74.001,5,3.2049803733825684,-2.500316619873047,25.293782610817924
2019-09-05 01:30:03.275,9823.538967999999,75.0012,5,3.204720973968506,-2.5003252029418945,25.293777465820312
2019-09-05 01:30:04.274,9824.538168,76.0004,5,3.204293966293335,-2.500333786010742,25.293777465820312
2019-09-05 01:30:05.275,9825.539168,77.0014,5,3.2040066719055176,-2.500344753265381,25.35547402998308
2019-09-05 01:30:06.274,9826.538168,78.0004,5,3.203467607498169,-2.500344753265381,25.355480194091797
2019-09-05 01:30:07.274,9827.538467999999,79.0007,5,3.2031333446502686,-2.5003466606140137,25.355480194091797
2019-09-05 01:30:08.275,9828.538668,80.0009,5,3.202754020690918,-2.5003395080566406,25.35640525817871
2019-09-05 01:30:09.274,9829.538467999999,81.0007,5,3.2024660110473633,-2.5003437995910645,25.35640525817871
